'AATTTA' occurs 1470 times.
Found at index: 4997806
Found at index: 3770002
Found at index: 4994112
Found at index: 392097
Found at index: 712112
Found at index: 553550
Found at index: 4511747
Found at index: 4150076
Found at index: 4466554
Found at index: 3564708
Found at index: 1266818
Found at index: 4003073
Found at index: 4939678
Found at index: 2295854
Found at index: 1528100
Found at index: 3244606
Found at index: 817434
Found at index: 2703880
Found at index: 1558278
Found at index: 4814974
Found at index: 2556689
Found at index: 121560
Found at index: 1520012
Found at index: 3888822
Found at index: 2529229
Found at index: 4491992
Found at index: 4554050
Found at index: 3030915
Found at index: 3487167
Found at index: 3107264
Found at index: 2978811
Found at index: 4964006
Found at index: 1619087
Found at index: 551095
Found at index: 5035164
Found at index: 1958557
Found at index: 1333274
Found at index: 4385171
Found at index: 2203818
Found at index: 3331595
Found at index: 1303272
Found at index: 3326805
Found at index: 3016263
Found at index: 82629
Found at index: 3053374
Found at index: 2438973
Found at index: 2277455
Found at index: 4491561
Found at index: 4998655
Found at index: 1332030
Found at index: 878888
Found at index: 1354943
Found at index: 4465121
Found at index: 4227476
Found at index: 284106
Found at index: 1381088
Found at index: 4389420
Found at index: 2966694
Found at index: 4217544
Found at index: 3724672
Found at index: 3487913
Found at index: 4953760
Found at index: 3299216
Found at index: 5081500
Found at index: 2711848
Found at index: 1567860
Found at index: 4842107
Found at index: 2847213
Found at index: 891131
Found at index: 1080180
Found at index: 3957463
Found at index: 720944
Found at index: 3838941
Found at index: 1647767
Found at index: 2984055
Found at index: 504894
Found at index: 2146443
Found at index: 4630256
Found at index: 1650473
Found at index: 3585098
Found at index: 427210
Found at index: 2402046
Found at index: 272526
Found at index: 3718003
Found at index: 1569212
Found at index: 3801066
Found at index: 2259915
Found at index: 2570910
Found at index: 1579190
Found at index: 2668782
Found at index: 4125578
Found at index: 4115529
Found at index: 4898924
Found at index: 4158063
Found at index: 849771
Found at index: 1178725
Found at index: 1559178
Found at index: 2575014
Found at index: 2145689
Found at index: 4072631
Found at index: 5055544
Found at index: 3343997
Found at index: 1612615
Found at index: 1590248
Found at index: 4310811
Found at index: 453563
Found at index: 431242
Found at index: 4462696
Found at index: 2121298
Found at index: 1815593
Found at index: 314891
Found at index: 368569
Found at index: 286777
Found at index: 21327
Found at index: 1238716
Found at index: 1174706
Found at index: 3626196
Found at index: 2759546
Found at index: 962519
Found at index: 607691
Found at index: 1336468
Found at index: 2375310
Found at index: 921801
Found at index: 4664300
Found at index: 4827032
Found at index: 3839221
Found at index: 4928796
Found at index: 889414
Found at index: 4662046
Found at index: 3653135
Found at index: 3117582
Found at index: 4917823
Found at index: 4900957
Found at index: 3992098
Found at index: 372387
Found at index: 3830333
Found at index: 2412762
Found at index: 5104910
Found at index: 3306863
Found at index: 436173
Found at index: 1892369
Found at index: 4157511
Found at index: 526241
Found at index: 2956604
Found at index: 932007
Found at index: 3856193
Found at index: 2227816
Found at index: 1894912
Found at index: 3850222
Found at index: 444366
Found at index: 2409228
Found at index: 1571393
Found at index: 5021433
Found at index: 2879619
Found at index: 2559363
Found at index: 2971025
Found at index: 1277810
Found at index: 1331555
Found at index: 3103674
Found at index: 4499617
Found at index: 1601105
Found at index: 1933381
Found at index: 903987
Found at index: 4397151
Found at index: 581862
Found at index: 554647
Found at index: 1143491
Found at index: 4888332
Found at index: 1282150
Found at index: 4055600
Found at index: 2716396
Found at index: 5099509
Found at index: 2153003
Found at index: 3355542
Found at index: 4460415
Found at index: 4257985
Found at index: 4015648
Found at index: 2709724
Found at index: 937211
Found at index: 597736
Found at index: 4885825
Found at index: 1675438
Found at index: 2639815
Found at index: 4250407
Found at index: 3047276
Found at index: 3746656
Found at index: 1296362
Found at index: 3780410
Found at index: 1832079
Found at index: 693800
Found at index: 4006821
Found at index: 3029397
Found at index: 3816496
